Class,Day,Start_Time,End_Time,Subject
CSE-B,Wednesday,10:50,11:05,BREAK - Tea Break
CSE-B,Wednesday,11:05,11:55,APP
CSE-B,Wednesday,11:55,12:45,CCS345 - Ethics and AI
CSE-B,Wednesday,12:45,13:30,BREAK - Lunch Break
CSE-B,Wednesday,13:30,14:15,CCS356 - OOSE
CSE-B,Wednesday,14:15,15:00,CCS356 - OOSE
CSE-B,Wednesday,15:00,15:10,BREAK - Tea Break
CSE-B,Wednesday,15:10,15:55,CS3691 - Embedded Systems
CSE-B,Wednesday,15:55,16:40,CS3691 - Embedded Systems
CSE-B,Thursday,9:10,10:00,OCE351 - Env. Impact Assessment
CSE-B,Thursday,10:00,10:50,CCS354
CSE-B,Thursday,10:50,11:05,BREAK - Tea Break
CSE-B,Thursday,11:05,11:55,CCS345 - Ethics and AI
CSE-B,Thursday,11:55,12:45,APP
CSE-B,Thursday,12:45,13:30,BREAK - Lunch Break
CSE-B,Thursday,13:30,14:15,CCS354
CSE-B,Thursday,14:15,15:00,CCS356 - OOSE
CSE-B,Thursday,15:00,15:10,BREAK - Tea Break
CSE-B,Thursday,15:10,15:55,CCW332 - Digital Marketing
CSE-B,Thursday,15:55,16:40,CCW332 - Digital Marketing
CSE-B,Friday,9:10,10:00,CCS356 - OOSE
CSE-B,Friday,10:00,10:50,CS3691 - Embedded Systems
CSE-B,Friday,10:50,11:05,BREAK - Tea Break
CSE-B,Friday,11:05,11:55,CCS365 - SDN Laboratory
CSE-B,Friday,11:55,12:45,CCS365 - SDN Laboratory
CSE-B,Friday,12:45,13:30,BREAK - Lunch Break
CSE-B,Friday,13:30,14:15,ASS - Association
CSE-B,Friday,14:15,15:00,OCE351 - Env. Impact Assessment
CSE-B,Friday,15:00,15:10,BREAK - Tea Break
CSE-B,Friday,15:10,15:55,CCW332 - Digital Marketing
CSE-B,Friday,15:55,16:40,MX3089 - Industrial Safety
CSE-B,Saturday,9:10,10:00,CS3691 - Embedded Systems
CSE-B,Saturday,10:00,10:50,CCW332 - Digital Marketing
CSE-B,Saturday,10:50,11:05,BREAK - Tea Break
CSE-B,Saturday,11:05,11:55,OCE351 - Env. Impact Assessment
CSE-B,Saturday,11:55,12:45,CCS345 - Ethics and AI
CSE-B,Saturday,12:45,13:30,BREAK - Lunch Break
CSE-B,Saturday,13:30,14:15,CS
CSE-B,Saturday,14:15,15:00,CCW332 - Digital Marketing
CSE-B,Saturday,15:00,15:10,BREAK - Tea Break
CSE-B,Saturday,15:10,15:55,CCS365 - Software Defined Networks
CSE-B,Saturday,15:55,16:40,COUN
